"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT3G46640",292.559408107959,-1.59848909496333,0.438324196521453,-3.64681919832161,0.000265506603072185,0.00323096430729963,"AT3G46640","LUX;PCL1","Encodes a myb family transcription factor with a single Myb DNA-binding domain (type SHAQKYF) that is unique to plants and is essential for circadian rhythms, specifically for transcriptional regulation within the circadian clock.   LUX is required for normal rhythmic expression of multiple clock outputs in both constant light and darkness.  It is coregulated with TOC1 and seems to be repressed by CCA1 and LHY by direct binding of these proteins to the evening element in the LUX promoter."
"AT5G57220",158.610859321859,-3.05778628185357,0.83861473259243,-3.64623487164477,0.000266110766415575,0.00323646169807258,"AT5G57220","CYP81F2","member of CYP81F, involved in glucosinolate metabolism. Mutants had impaired resistance to fungi."
"AT1G30820",713.75085651946,-1.22026517932556,0.334701195970951,-3.64583453544479,0.000266525436892264,0.00323920139345045,"AT1G30820","CTPS1",NA
"AT5G56140",590.002553441407,-1.00387360397136,0.275359312464559,-3.64568604920732,0.000266679393710196,0.00323920139345045,"AT5G56140","KH29",NA
"AT2G23450",320.649583682731,-1.1508766794352,0.315832058286886,-3.64395142683647,0.000268484109976041,0.00325600232743646,"AT2G23450",NA,NA
"AT5G66650",118.790647634947,-2.38923529193506,0.655711323979063,-3.64373041087109,0.000268714877443885,0.0032569408804343,"AT5G66650","cMCU;MCU6",NA
"AT1G72680",201.564709332852,-1.23970596434033,0.340347302820797,-3.6424733031984,0.000270030990513609,0.00327102571794437,"AT1G72680","ATCAD1;CAD1",NA
"AT3G07525",46.9934879243301,-1.12321350912422,0.308411924771728,-3.6419263293907,0.000270605522197452,0.00327611645602218,"AT3G07525","ATATG10;ATG10","Encodes an E1 ligase involved in autophagic vesicle formation."
"AT1G66700",27.9639550931117,-4.00972422966904,1.10118403466474,-3.6412843843035,0.000271281271474588,0.00328242609673099,"AT1G66700","PXMT1","A member of the Arabidopsis SABATH methyltransferase gene family.  Encodes PXMT1, a methyltransferase that methylates 1,7-paraxanthine."
"AT1G78460",566.652854820034,-1.71962418978168,0.47232541088548,-3.64076153886757,0.000271832817808411,0.00328429963388647,"AT1G78460","cHBP3",NA
"AT2G03760",239.569105248808,-1.09077559032339,0.299606186576625,-3.64069781998452,0.000271900106257236,0.00328429963388647,"AT2G03760","AtSOT1;AtSOT12;ATST1;AtSULT202A1;RAR047;SOT12;ST;ST1;SULT202A1","Encodes a brassinosteroid sulfotransferase. In vitro experiements show that this enzyme has a preference for 24-epibrassinosteroids, particularly 24-epicathasterone, but does not act on castasterone and brassinolide.  It is differentially expressed during development, being more abundant in young seedlings and actively growing cell cultures. Expression is induced in response to salicylic acid and methyl jasmonate and bacterial pathogens."
"AT4G15530",1408.37352164221,-2.18505661404912,0.600423919234002,-3.63918981914767,0.000273497150235197,0.0032998363552525,"AT4G15530","PPDK","The product of this long transcript was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. They were also found in slightly different tissues.;Encodes a dual-targeted protein believed to act as a pyruvate, orthophosphate dikinase. These enzymes are normally associated with C4 photosynthesis which does not occur in Arabidopsis. However, PPDK may play a role in remobilizing nitrogen during leaf senescence in Arabidopsis. The product of the long transcript (.1 gene model) was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. The two proteins were also found to be expressed in slightly different tissues.;The product of this shorter transcript (no chloroplast targeting sequence) was shown to accumulate in the cytosol, whereas the longest transcript was found in the chloroplast. They were also found in slightly different tissues."
"AT2G18700",1375.01471460869,-1.75048025488059,0.481848972758836,-3.6328400678291,0.000280318775632859,0.00337065073644608,"AT2G18700","ATTPS11;ATTPSB;TPS11","Encodes an enzyme putatively involved in trehalose biosynthesis.  The protein has a trehalose synthase (TPS)-like domain that may or may not be active as well as a trehalose phosphatase (TPP)-like domain."
"AT5G27420",177.648593738635,-1.98994150324399,0.548031405569864,-3.63107202072621,0.000282246400808292,0.00338999000065841,"AT5G27420","ATL31;CNI1","Encodes CNI1 (Carbon/Nitrogen Insensitive1) (also named as ATL31), a RING type ubiquitin ligase that functions in the Carbon/Nitrogen response for growth phase transition in Arabidopsis seedlings."
"AT3G12910",5.65830309574894,-5.68752267736599,1.56680518125004,-3.63001268149261,0.000283407295464865,0.00340200899898044,"AT3G12910",NA,NA
"AT1G12710",143.812294539518,-1.53478917025249,0.423352443890023,-3.62532257083461,0.00028860098867437,0.00345069932122761,"AT1G12710","AtPP2-A12;PP2-A12","This gene is predicted to encode a protein with a PP2 domain. This domain in present in lectins found in squash and cucumber, suggesting that this protein could potentially have carbohydrate binding capabilities."
"AT1G66060",3.2387330046081,-6.2494396922143,1.72506647613288,-3.62272398117886,0.000291516845885233,0.00347773046200727,"AT1G66060",NA,NA
"AT2G43000",28.7612759678609,-3.73953829871965,1.03273862914744,-3.62099198497763,0.00029347560747782,0.00349913224300477,"AT2G43000","ANAC042;AtJUB1;JUB1;NAC042",NA
"AT2G25770",11.0034162531017,-2.84094721192811,0.785284035984007,-3.61773203293027,0.000297195858310303,0.00353753029776866,"AT2G25770",NA,NA
"AT1G76490",3337.48844826054,-1.02992452765166,0.285223886560671,-3.6109336425881,0.000305096722116465,0.00361334573014118,"AT1G76490","AtHMGR1;HMG1;HMGR1;MAD3","Encodes a 3-hydroxy-3-methylglutaryl coenzyme A reductase, which is involved in melavonate biosynthesis and performs the first committed step in isoprenoid biosynthesis. Expression is activated in dark in leaf tissue but not controlled by light in the root (confine"
"AT5G45090",2.70193248911651,-6.58453987396807,1.82326374114743,-3.6114028515832,0.000304545165622624,0.00361334573014118,"AT5G45090","AtPP2-A7;PP2-A7",NA
"AT2G36220",282.771084864237,-1.90725835843986,0.528324677320826,-3.61001187397058,0.000306182988564182,0.00362217034103643,"AT2G36220",NA,NA
"AT2G38240",10.4226091761581,-4.5028113803739,1.24869944596958,-3.60600094354778,0.000310952005064336,0.00366429846145459,"AT2G38240","JAO4;JOX4",NA
"AT5G48430",40.4692102003401,-3.34496386777973,0.928669553425128,-3.6018881586489,0.000315914281538317,0.00371247358520541,"AT5G48430",NA,NA
"AT1G14290",417.097491385857,-1.30502835328556,0.362860315484461,-3.59650338600185,0.000322523387274123,0.00377135689910022,"AT1G14290","AtSBH2;SBH2","Encodes one of the two redundant sphingoid base hydroxylases (SBH). Involved in sphingolipid trihydroxy long-chain base (4-hydroxysphinganine) biosynthesis. Double mutants of SBHs were dwarfed and not able to progress from vegetative to reproductive growth."
"AT1G58190",73.3137297844515,-1.92187969448069,0.53564717488501,-3.58795823928926,0.000333277653393497,0.00386518348979296,"AT1G58190","AtRLP9;RLP9",NA
"AT4G34138",657.031135171078,-1.26031921610393,0.351811055589936,-3.58237524398021,0.000340484233153466,0.00392944711468144,"AT4G34138","UGT73B1",NA
"AT2G15880",358.200701099315,-1.69843496195688,0.475312882746673,-3.5732988177013,0.000352512098344372,0.00405064632486079,"AT2G15880","LRX10",NA
"AT3G63420",148.772777745787,-1.00628370128707,0.281778860870118,-3.57118237393579,0.000355373329182488,0.00407030887011334,"AT3G63420","AGG1;ATAGG1;GG1","heterotrimeric G protein gamma-subunit (AGG1) mRNA,"
"AT4G40065",62.1625658652369,-1.82278663363583,0.510411093336542,-3.57121280754368,0.00035533203236943,0.00407030887011334,"AT4G40065",NA,NA
"AT1G14860",115.310401479998,-1.26758791297645,0.355071899864159,-3.56994713876653,0.000357053271916658,0.00408734567609177,"AT1G14860","atnudt18;NUDT18",NA
"AT2G01190",345.894618174543,-1.15707811809155,0.324192816990823,-3.56910473474281,0.000358203213363466,0.00409609328797695,"AT2G01190","PDE331",NA
"AT4G10925",153.598683969549,-1.34436470632085,0.376875964358034,-3.56712773819584,0.00036091557008514,0.0041248881220441,"AT4G10925",NA,NA
"AT3G10985",1127.9543512105,-1.53756325531985,0.431153208002381,-3.56616447884892,0.00036224406884903,0.00413117765951082,"AT3G10985","ATWI-12;SAG20;WI12","A senescence-associated gene whose expression is induced in response to treatment with Nep1, a fungal protein that causes necrosis."
"AT5G58090",561.214005168541,-1.60066908311429,0.44887365020984,-3.56596802321992,0.000362515575406284,0.00413205488124124,"AT5G58090",NA,NA
"AT1G51940",392.529222766461,-1.11936705850266,0.314355609689271,-3.56083054986393,0.000369683606021361,0.00420473024845399,"AT1G51940","AtLYK3;LYK3",NA
"AT1G73805",196.37750948025,-2.1932321196484,0.616746947707825,-3.55612967003676,0.000376358371083284,0.00426312503438039,"AT1G73805","SARD1",NA
"AT1G02930",2016.74572857739,-3.69029121416596,1.03819563112888,-3.55452392932276,0.000378664051915688,0.00428573826566268,"AT1G02930","ATGST1;ATGSTF3;ATGSTF6;ERD11;GST1;GSTF6","Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002)."
"AT3G52240",389.74989365869,-1.34264880736675,0.377832861053533,-3.55355223371244,0.000380065713473363,0.0042952077837184,"AT3G52240",NA,NA
"AT3G60040",29.270148172506,-1.15439634777783,0.325059354751491,-3.55134018111975,0.000383274683836658,0.0043190665749776,"AT3G60040",NA,NA
"AT3G55450",258.033838586933,-1.42175754653443,0.400686096968058,-3.54830765852044,0.000387715056272842,0.00435154821350624,"AT3G55450","PBL1",NA
"AT5G43580",251.022226845916,-1.29701334450713,0.365634297369351,-3.5472967219947,0.000389205973297712,0.00436597403221179,"AT5G43580","UPI","Predicted to encode a PR (pathogenesis-related) peptide that belongs to the PR-6 proteinase inhibitor family.  Six putative PR-6-type protein encoding genes are found in Arabidopsis: At2g38900, At2g38870, At5g43570, At5g43580, At3g50020 and At3g46860."
"AT5G65430",1698.88198234112,-1.0100476213978,0.285421349899333,-3.53879491409468,0.000401958006442713,0.00448061851276168,"AT5G65430","14-3-3KAPPA;AtMIN10;GF14;GRF8","member of 14-3-3 proteins. This protein is reported to interact with the BZR1 transcription factor involved in brassinosteroid signaling and may affect the nucleocytoplasmic shuttling of BZR1"
"AT3G08720",132.346902427755,-1.24438318453,0.35189912826424,-3.53619285920934,0.000405938226660521,0.00451795071115223,"AT3G08720","ATPK19;ATPK2;ATS6K2;S6K2","Encodes a ribosomal-protein S6 kinase. Gene expression is induced by cold and salt (NaCl).  Activation of AtS6k is regulated by 1-naphthylacetic acid and kinetin, at least in part, via a lipid kinase-dependent pathway. Phosphorylates specifically mammalian and plant S6 at 25 degrees C but not at 37 degrees C. Involved in translational up-regulation of ribosomal proteins."
"AT2G41990",58.8314397764207,-1.43993966453319,0.407491839519844,-3.53366503297317,0.000409840133622725,0.00454937545085131,"AT2G41990","CC3",NA
"AT2G37025",94.5889806147115,-1.87108486609372,0.530492187472603,-3.52707336748545,0.000420180314698811,0.00463748907621063,"AT2G37025","TRFL8",NA
"AT5G01100",50.940313400686,-1.95853042835193,0.555349107287306,-3.52666530413399,0.000420828374375204,0.0046422288466792,"AT5G01100","FRB1",NA
"AT5G26690",34.3577676437314,-5.05310392153457,1.43325348606026,-3.52561774360276,0.000422496318130422,0.00465820836734139,"AT5G26690","AtHMP48;HIPP02",NA
"AT3G11620",140.074685312937,-1.00689212285359,0.285681407294114,-3.52452801318281,0.000424237955063672,0.00466529931422946,"AT3G11620",NA,NA
"AT1G01500",203.984817931975,-1.29030794731643,0.366237116470592,-3.52314904549016,0.000426451468428341,0.0046872137329585,"AT1G01500",NA,NA
"AT1G05340",122.028300429237,-1.83815880343669,0.521893883865708,-3.522093015962,0.000428153889062256,0.00469941784028373,"AT1G05340","AthCYSTM1",NA
"AT4G05330",108.896358469486,-1.51461020260537,0.431920151443141,-3.50669029343669,0.000453716890716497,0.00493832812627618,"AT4G05330","AGD13","A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes."
"AT5G56750",347.138063188427,-1.35414187023504,0.386194177969829,-3.50637567182805,0.000454253595326198,0.00494163683235236,"AT5G56750","NDL1",NA
"AT4G18510",21.9998102146611,-1.65238080367614,0.471382019104572,-3.50539633822897,0.000455928009065926,0.00495477547211614,"AT4G18510","CLE2","CLE2, putative ligand, member of large gene family homologous to Clavata3"
"AT4G23220",155.936262993706,-2.18395902526087,0.62408126628118,-3.49947858277304,0.000466169052531838,0.00504541275765218,"AT4G23220","CRK14","Encodes a cysteine-rich receptor-like protein kinase."
"AT1G66160",94.0816346568129,-2.52580509576373,0.722242128448287,-3.49717220344145,0.000470218194687001,0.00508146736090507,"AT1G66160","ATCMPG1;CMPG1",NA
"AT2G02010",25.4205550745736,-2.97195262208392,0.850519362969897,-3.49427979123987,0.000475342569547059,0.00512901395545315,"AT2G02010","GAD4",NA
"AT1G78910",39.5633512094957,-1.09098800672615,0.312306613452604,-3.49332341913958,0.00047704836460177,0.00513785801647198,"AT1G78910","FCS1;RLUA1",NA
"AT1G56220",3171.68445575002,-1.44232719194816,0.41292961879687,-3.49291289917781,0.000477782322247612,0.00513993443901678,"AT1G56220",NA,NA
"AT1G68500",17.0260730700811,-2.17368527179521,0.622650453936761,-3.49102013505635,0.000481179988425723,0.00516314151299658,"AT1G68500",NA,NA
"AT5G37710",177.166765101271,-1.34565813989735,0.385766350831991,-3.48827246595027,0.000486152398990682,0.00520860050079069,"AT5G37710",NA,NA
"AT1G05020",37.508905421471,-1.86840101340964,0.536516838637929,-3.48246481536908,0.000496820503752094,0.0053068326947564,"AT1G05020","AP180;PICALM6",NA
"AT4G23600",274.575190843819,-2.73348652758608,0.786374484970808,-3.4760620796179,0.000508834486339313,0.00541555431628833,"AT4G23600","CORI3;JR2","Encodes cystine lyase which is expected to be involved in amino acid metabolism, providing the plant with cysteine and the generation of precursors of ethylene biosynthesis.  mRNA levels are elevated in response to wounding."
"AT4G28140",5.17240486805752,-2.93363327083624,0.844622405798797,-3.47330742198553,0.000514086142742606,0.00545581126497283,"AT4G28140","ERF54","encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 8 members in this subfamily including RAP2.4."
"AT1G51550",115.743409939282,-1.02448889669034,0.295508770201893,-3.4668646077421,0.000526567049124426,0.00556855143832529,"AT1G51550",NA,NA
"AT3G18560",139.663709443916,-1.26889915680354,0.366042915543733,-3.46653111676448,0.000527220706128112,0.00557196499377776,"AT3G18560",NA,NA
"AT2G20142",51.123428792577,-2.9248563884303,0.844724739590173,-3.46249642202893,0.000535189030309803,0.00562610844486567,"AT2G20142",NA,NA
