"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT1G73330",3208.03031174058,1.23777859916069,0.252814276253128,4.89599961483733,9.78072572249406e-07,3.03645775902283e-05,"AT1G73330","ATDR4;DR4","encodes a plant-specific protease inhibitor-like protein whose transcript level in root disappears in response to progressive drought stress. The decrease in transcript level is independent from abscisic acid level."
"AT4G27520",1548.33153994449,1.17845546734412,0.240791341524844,4.89409403129446,9.87596137338203e-07,3.05708512775171e-05,"AT4G27520","AtENODL2;ENODL2",NA
"AT5G55570",59.736178718072,2.62524783167909,0.536410183568357,4.89410513091899,9.87540406974228e-07,3.05708512775171e-05,"AT5G55570",NA,NA
"AT2G01290",269.338433412077,1.66268342925826,0.34009211378474,4.88892085957233,1.01390243097066e-06,3.13394732484162e-05,"AT2G01290","RPI2","Cytosolic ribose-5-phosphate isomerase.  Knockout mutation causes chloroplast dysfunction, late flowering  and premature cell death."
"AT5G02120",1382.3780634152,1.42316697454538,0.291434149332568,4.88332262298247,1.04312986802933e-06,3.21492928121957e-05,"AT5G02120","OHP;OHP1;PDE335","Encodes a one helix protein homologous to cyanobacterial high-light inducible proteins.  The protein is localized to the thylakoid membrane and its transcript is transiently induced by exposure to high light conditions."
"AT5G55790",121.766624015652,1.19542318781226,0.244868493418056,4.88189873317574,1.05069212770945e-06,3.22886357914763e-05,"AT5G55790",NA,NA
"AT4G29070",387.793828958427,1.46939481809034,0.301478840286239,4.8739567151553,1.09384966469066e-06,3.34526552896913e-05,"AT4G29070",NA,NA
"AT5G54585",195.882455899274,2.84897764675411,0.584503608968311,4.87418315822335,1.0925958650425e-06,3.34526552896913e-05,"AT5G54585",NA,NA
"AT3G11670",666.484475146746,1.27755123613155,0.262279328743392,4.87095663334365,1.11059216258787e-06,3.38842307076918e-05,"AT3G11670","ATTS02;DGD1","Responsible for the final assembly of galactolipids in photosynthetic membranes.  Provides stability to the PS I core complex (e.g. subunits PsaD, PsaE)."
"AT1G05140",653.615177923496,1.12475775877661,0.231092812569314,4.86712566380337,1.13233034239875e-06,3.44484739553545e-05,"AT1G05140",NA,NA
