"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT3G24750",8.74431816308118,1.65485430814731,0.583497934591866,2.8360928291971,0.00456691697805804,0.0242862580645511,"AT3G24750","LAZY5",NA
"AT1G54540",36.5158248193417,1.38800056740819,0.489430109388275,2.83595255131118,0.00456892333710093,0.0242899174414622,"AT1G54540","NHL4",NA
"AT1G06540",7.38396996875888,3.12551229410599,1.10305524074639,2.83350477714162,0.00460406198105835,0.0244149452446461,"AT1G06540",NA,NA
"AT3G24500",323.619656815277,1.62888389957639,0.574995116399797,2.83286562462527,0.00461327744265143,0.0244486473347516,"AT3G24500","ATMBF1C;MBF1C","One of three genes in A. thaliana encoding multiprotein bridging factor 1, a highly conserved transcriptional coactivator.  May serve as a bridging factor between a bZIP factor and TBP.  Its expression is specifically elevated in response to pathogen infection, salinity, drought, heat, hydrogen peroxide, and application of abscisic acid or salicylic acid.  Constitutive expression enhances the tolerance of transgenic plants to various biotic and abiotic stresses."
"AT5G47530",30.7957699110921,1.15035509330375,0.406169447336296,2.8322048860344,0.00462282169452439,0.0244768851589863,"AT5G47530",NA,NA
"AT1G78340",72.9469449029128,1.24197495396719,0.438581408042123,2.83180027970521,0.0046286749848282,0.0244953731021074,"AT1G78340","ATGSTU22;GSTU22","Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)."
"AT1G30070",165.708865857962,1.24720256109921,0.4408648460724,2.82899072631976,0.00466950520156998,0.0246799708042214,"AT1G30070",NA,NA
"AT2G18120",14.369912488425,2.43148944704333,0.859640360200647,2.82849614747707,0.00467672639749939,0.0246866893425254,"AT2G18120","SRS4","A member of SHI gene family. Arabidopsis thaliana has ten members that encode proteins with a RING finger-like zinc finger motif. Despite being highly divergent in sequence, many of the SHI-related genes are partially redundant in function and synergistically promote gynoecium, stamen and leaf development in Arabidopsis."
"AT2G22510",152.791331775009,1.29266344236083,0.457096609763135,2.82798737674008,0.0046841653532804,0.0247035453234093,"AT2G22510",NA,NA
"AT5G65040",20.5831664792556,1.15544858120539,0.408650149706805,2.82747622149261,0.00469164996030529,0.0247237132194635,"AT5G65040","IRM1",NA
"AT3G02640",167.250610330508,1.38125527955545,0.488591324570303,2.8270155651458,0.00469840440898822,0.024744452770871,"AT3G02640",NA,NA
"AT4G33070",17.256626963692,1.29799368604784,0.459129032740982,2.82707821437227,0.00469748528759768,0.024744452770871,"AT4G33070","AtPDC1;PDC1",NA
"AT1G69530",2683.48029566562,1.59208062173747,0.564600182987381,2.81983724006879,0.00480480133108916,0.0251579009625049,"AT1G69530","AT-EXP1;ATEXP1;ATEXPA1;ATHEXP;EXP1;EXPA1","Member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana."
"AT2G18450",14.5294949532276,1.28782982040091,0.456940593106424,2.81837472929652,0.00482674415012085,0.0252398233171595,"AT2G18450","SDH1-2","Nuclear encoded mitochondrial flavoprotein subunit of succinate dehydrogenase complex ."
"AT4G13575",375.540086814921,2.1127980360907,0.74971981756554,2.81811683056651,0.00483062293146237,0.0252484940068498,"AT4G13575",NA,NA
"AT4G29520",190.705916570777,1.39821380022837,0.49616962321994,2.8180157244503,0.00483214433075554,0.0252500841666306,"AT4G29520","SES1",NA
"AT2G25680",37.3324802666908,1.75079000223155,0.621867147492708,2.81537625727701,0.00487201555453267,0.0253944629846182,"AT2G25680","MOT1","Encodes a high-affinity molybdate transporter. Mutant has reduced concentrations of molybdate  in roots and shoots, and reduced shoot and root length when growing on Mo-limited medium."
"AT1G34040",44.5614513715183,1.14044216866751,0.405168587912529,2.81473490959205,0.00488174845081621,0.025432413764988,"AT1G34040","AtTAR3;TAR3",NA
"AT1G13470",344.112326917613,3.87143561629525,1.37569830591031,2.81416034290564,0.00489048283280519,0.0254696072261667,"AT1G13470",NA,NA
"AT5G48010",557.380187608745,1.5090606038484,0.536283126639705,2.81392519899706,0.00489406149130184,0.0254773665337658,"AT5G48010","AtTHAS1;THAS;THAS1","Encodes an oxidosqualene cyclase involved in the  biosynthesis of thalianol, a tricyclic triterpenoid of unknown function. Overexpression of THAS leads to dwarfing in the aerial tissues of Arabidopsis plants, but increases their root length. THAS is part of a small operon-like cluster of genes (with At5g48000 (THAH) and At5g47990 (THAD)) involved in thalianol metabolism."
"AT4G15393",18.4656045248968,1.73003576305675,0.615013625183155,2.81300395993915,0.00490810467297654,0.0255243353587377,"AT4G15393","CYP702A5","a member of the cytochrome P450 gene family. molecular function unknown."
"AT2G22200",30.8841631672592,1.77522345997346,0.632339685388531,2.80738897303703,0.00499448933631124,0.0258638745086812,"AT2G22200","ERF56","encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 8 members in this subfamily including RAP2.4."
"AT3G15020",217.639376945015,1.17587045625153,0.419202284610218,2.80501919817751,0.00503135828893618,0.0260022731856117,"AT3G15020","mMDH2",NA
"AT5G60910",12.6050450758856,3.880385051418,1.38366455498204,2.80442614320519,0.005040623449734,0.0260341790757025,"AT5G60910","AGL8;FUL","MADS box gene negatively regulated  by APETALA1"
"AT4G00900",217.32277048474,1.07085709367563,0.381934566174913,2.8037710867605,0.00505087517136841,0.0260712628589295,"AT4G00900","ATECA2;ECA2","Type IIA (SERCA-type) Ca2+ ATPase, catalyzes the efflux of calcium from the cytoplasm."
